image_id,fname,mask,distancing,5k,n_people,fold
1,1.jpg,1.0,1.0,1.0,11.0,0.0
2,2.jpg,0.0,0.0,0.0,5.0,4.0
3,3.jpg,1.0,1.0,1.0,7.0,0.0
4,4.jpg,1.0,1.0,1.0,2.0,0.0
5,5.jpg,0.0,0.0,0.0,9.0,1.0
6,6.jpg,0.0,0.0,0.0,4.0,3.0
7,7.jpg,0.0,0.0,0.0,9.0,3.0
8,8.jpg,0.0,1.0,0.0,1.0,2.0
9,9.jpg,0.0,0.0,0.0,20.0,1.0
10,10.jpg,1.0,0.0,0.0,21.0,0.0
11,11.jpg,1.0,0.0,0.0,3.0,3.0
12,12.jpg,0.0,1.0,0.0,19.0,4.0
13,13.jpg,0.0,0.0,0.0,14.0,4.0
14,14.jpg,1.0,1.0,1.0,2.0,3.0
15,15.jpg,0.0,1.0,0.0,7.0,1.0
16,16.jpg,0.0,0.0,0.0,19.0,4.0
18,18.jpg,1.0,0.0,0.0,11.0,2.0
19,19.jpg,1.0,0.0,0.0,9.0,2.0
20,20.jpg,1.0,0.0,0.0,25.0,3.0
21,21.jpg,0.0,0.0,0.0,3.0,1.0
22,22.jpg,0.0,0.0,0.0,12.0,3.0
23,23.jpg,1.0,0.0,0.0,17.0,4.0
24,24.jpg,1.0,1.0,1.0,14.0,2.0
25,25.jpg,0.0,0.0,0.0,16.0,4.0
26,26.jpg,1.0,1.0,1.0,5.0,4.0
27,27.jpg,1.0,0.0,0.0,4.0,2.0
28,28.jpg,1.0,0.0,0.0,10.0,3.0
29,29.jpg,1.0,1.0,1.0,2.0,4.0
30,30.jpg,0.0,1.0,0.0,4.0,3.0
31,31.jpg,0.0,1.0,0.0,12.0,1.0
32,32.jpg,1.0,1.0,1.0,4.0,1.0
33,33.jpg,1.0,0.0,0.0,14.0,3.0
34,34.jpg,0.0,0.0,0.0,2.0,4.0
35,35.jpg,1.0,1.0,1.0,7.0,2.0
36,36.jpg,1.0,1.0,1.0,2.0,2.0
37,37.jpg,1.0,1.0,1.0,7.0,3.0
38,38.jpg,0.0,0.0,0.0,8.0,3.0
39,39.jpg,1.0,1.0,1.0,4.0,3.0
40,40.jpg,1.0,0.0,0.0,8.0,2.0
41,41.jpg,1.0,0.0,0.0,19.0,0.0
42,42.jpg,1.0,0.0,0.0,10.0,0.0
43,43.jpg,0.0,1.0,0.0,1.0,0.0
44,44.jpg,1.0,1.0,1.0,9.0,1.0
45,45.jpg,1.0,0.0,0.0,6.0,4.0
46,46.jpg,1.0,1.0,1.0,6.0,2.0
47,47.jpg,1.0,1.0,1.0,9.0,2.0
49,49.jpg,1.0,1.0,1.0,2.0,1.0
50,50.jpg,0.0,0.0,0.0,13.0,2.0
51,51.jpg,0.0,0.0,0.0,9.0,2.0
52,52.jpg,0.0,0.0,0.0,13.0,4.0
53,53.jpg,1.0,0.0,0.0,8.0,1.0
54,54.jpg,0.0,0.0,0.0,11.0,4.0
55,55.jpg,1.0,1.0,1.0,7.0,1.0
56,56.jpg,1.0,0.0,0.0,4.0,0.0
57,57.jpg,1.0,0.0,0.0,3.0,1.0
58,58.jpg,1.0,1.0,1.0,10.0,4.0
